TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,"google.com,pub-87","mopub.com, 252","rubiconproject.com, 16","aps.amazon.com,ea",hindsight,REMARKS
1613292029,Forklift Truck Simulator 2024,https://apps.apple.com/us/app/id1613292029,https://0axj.ads-txt.site/app-ads.txt,True,"google.com, pub-8728712656723745, RESELLER, f08c47fec0942fa0; google.com, pub-8730472332781078, RESELLER; google.com, pub-8730472332781078, RESELLER, f08c47fec0942fa0; google.com, pub-8712365663617930, RESELLER; google.com, pub-8754757843517208, RESELLER; google.com, pub-8728712656723745, RESELLER",-,"rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, DIRECT; rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16418, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16676, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807",-,-,
com.incubator.aog,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
br.com.zeroum.vilasesamo,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
com.ftd.fidget.toy.surpriseeggs.popit,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
com.kain.rt,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1629648298,Robbery Thief Simulator Games,https://apps.apple.com/us/app/id1629648298,https://0ey4.ads-txt.site/app-ads.txt,True,"google.com, pub-8728712656723745, RESELLER, f08c47fec0942fa0; google.com, pub-8730472332781078, RESELLER; google.com, pub-8730472332781078, RESELLER, f08c47fec0942fa0; google.com, pub-8712365663617930, RESELLER; google.com, pub-8754757843517208, RESELLER; google.com, pub-8728712656723745, RESELLER",-,"rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, DIRECT; rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16418, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16676, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807",-,-,
1613506457,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1662412174,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
org.hamak.mangareader,قارئ مانجا عربي,https://play.google.com/store/apps/details?id=org.hamak.mangareader,https://0midodev.blogspot.com/ads.txt,True,-,-,"rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807",-,-,
1583920169,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
