TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,programmaticians.com,rightxchange.com,REMARKS
kidultlovin.word.zen,Zen Word® - Relax Puzzle Game,kidultlovin.word.zen,https://oakevergames.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.gta.real.gangster.crime.two,Real Gangster Crime 2,com.gta.real.gangster.crime.two,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.darkriddle.classic,Dark Riddle: Classic,com.darkriddle.classic,https://paga.group/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.darkriddle2.storymode,Dark Riddle - Story mode,com.darkriddle2.storymode,https://paga.group/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.decoration.furniture.newforminecraft,Furniture for Minecraft,com.decoration.furniture.newforminecraft,https://cas.ai/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.delete.erase.tricky.parts.master,DOP Delete Stories: Erase Game,com.delete.erase.tricky.parts.master,https://fungameglobal.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.puzzle.fun.free.matching3d,Match Busters 3D Matching Game,com.puzzle.fun.free.matching3d,https://oakevergames.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.color.by.number.paint.ly.pixel.art,Paint.ly - Zen Color By Number,com.color.by.number.paint.ly.pixel.art,http://app.picfuntech.com/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com,PMVDO101,DIRECT",-,
com.merigotech.fillwords,Word Search Puzzle Game,com.merigotech.fillwords,https://lunappstudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.gta.thug,City theft simulator,com.gta.thug,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.mgc.stickman.rope.hero.two,Stick Rope Hero 2,com.mgc.stickman.rope.hero.two,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.gta.gangster.town.vice,Gangster Town: Vice District,com.gta.gangster.town.vice,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
