TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,hindsightsolutions.net,"pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",programmaticians.com,prosegments.com,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",REMARKS
https://tamil.boldsky.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://vijaykarnataka.com,-,https://vijaykarnataka.com,https://vijaykarnataka.com/ads.txt,True,-,-,-,-,-,-,-,
https://abplive.com,-,https://abplive.com,https://abplive.com/ads.txt,True,"hindsightsolutions.net,22652678936, RESELLER; hindsightsolutions.net,22655109307, RESELLER",-,-,-,-,-,-,
https://malayalam.samayam.com,-,https://malayalam.samayam.com,https://malayalam.samayam.com/ads.txt,True,-,-,-,-,-,-,-,
https://english.jagran.com,-,https://english.jagran.com,https://english.jagran.com/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 357, DIRECT; hindsightsolutions.net , 323-b6067 , DIRECT , 20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace",-,"rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PGADG254, DIRECT","prosegments.com, PSADG254, DIRECT",-,
https://odia.oneindia.com,-,-,-,-,-,-,-,-,-,-,-,NA - 403
https://marathi.indiatimes.com,-,https://marathi.indiatimes.com,https://marathi.indiatimes.com/ads.txt,True,"hindsightsolutions.net, 346, RESELLER",-,-,-,-,-,-,
https://gujaratijagran.com,-,https://gujaratijagran.com,https://gujaratijagran.com/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 357, DIRECT; hindsightsolutions.net , 323-b6067 , DIRECT , 20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace",-,"rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PGADG254, DIRECT","prosegments.com, PSADG254, DIRECT",-,
https://punjabijagran.com,-,https://punjabijagran.com,https://punjabijagran.com/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 357, DIRECT; hindsightsolutions.net , 323-b6067 , DIRECT , 20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace",-,"rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PGADG254, DIRECT","prosegments.com, PSADG254, DIRECT",-,
https://malayalam.oneindia.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://kannada.oneindia.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://malayalam.filmibeat.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://kannada.filmibeat.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://sharchat.com,-,-,-,-,-,-,-,-,-,-,-,Text content not found
https://malayalam.drivespark.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://hindi.goodreturns.in,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://tamil.drivespark.com,-,-,-,-,-,-,-,-,-,-,-,NA - 403
https://kannada.drivespark.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://kannada.goodreturns.in,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://telugu.goodreturns.in,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://malayalam.goodreturns.in,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://hindi.boldsky.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://tamil.goodreturns.in,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://marathijagran.com,-,https://marathijagran.com,https://marathijagran.com/ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 357, DIRECT; hindsightsolutions.net , 323-b6067 , DIRECT , 20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace",-,"rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PGADG254, DIRECT","prosegments.com, PSADG254, DIRECT",-,
https://tamil.gizbot.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://hindi.drivespark.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://telugu.drivespark.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://hindi.gizbot.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://kannada.gizbot.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://malayalam.mykhel.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://malayalam.boldsky.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://telugu.gizbot.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://telugu.boldsky.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://kannada.boldsky.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://malayalam.gizbot.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://kannada.nativeplanet.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://hindi.mykhel.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://tamil.mykhel.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://tamil.nativeplanet.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://malayalam.nativeplanet.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://telugu.mykhel.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
https://hindi.nativeplanet.com,-,-,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
