TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,programmaticians.com,rightxchange.com,REMARKS
easy.sudoku.puzzle.solver.free,Sudoku - Classic Sudoku Puzzle,easy.sudoku.puzzle.solver.free,https://oakevergames.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.tripledot.woodoku,Woodoku - Wood Block Puzzle,com.tripledot.woodoku,https://tripledotstudios.com/app-ads.txt,True,"programmaticians.com,PMCMRSL101,RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.mgc.RopeHero.ViceTown,Rope Hero: Vice Town,com.mgc.RopeHero.ViceTown,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.gta.real.gangster.crime,Real Gangster Crime,com.gta.real.gangster.crime,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.mgc.miami.crime.simulator.two,Vegas Crime Simulator,com.mgc.miami.crime.simulator.two,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.gta.truck.driver.city.crush,Rio crime city: mafia gangster,com.gta.truck.driver.city.crush,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
free.vpn.unblock.proxy.vpn.master.pro,VPN Proxy Master - Safer Vpn,free.vpn.unblock.proxy.vpn.master.pro,https://vpnproxymaster.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
free.vpn.unblock.proxy.turbovpn,Turbo VPN - Secure VPN Proxy,free.vpn.unblock.proxy.turbovpn,https://www.turbovpn.co/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
com.vitastudio.mahjong,Vita Mahjong,com.vitastudio.mahjong,https://www.vitastudio.ai/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
puzzle.blockpuzzle.cube.relax,Qblock: Wood Block Puzzle Game,puzzle.blockpuzzle.cube.relax,https://oakevergames.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
paint.by.number.pixel.art.coloring.drawing.puzzle,Paint by Number: Coloring Game,paint.by.number.pixel.art.coloring.drawing.puzzle,https://paintbynumber.app/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.zm.watersort,Get Color - Water Sort Puzzle,com.zm.watersort,https://tripledotstudios.com/app-ads.txt,True,"programmaticians.com,PMCMRSL101,RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.cricbuzz.android,Cricbuzz - Live Cricket Scores,com.cricbuzz.android,https://www.cricbuzz.com/app-ads.txt,True,"programmaticians.com, PGADG107, DIRECT",-,
onet.tile.match.puzzle.android,Onet Puzzle - Tile Match Game,onet.tile.match.puzzle.android,http://simplebro.co/app-ads.txt,False,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
