TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,hindsightsolutions.net,"pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",programmaticians.com,prosegments.com,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",REMARKS
com.js.litv.home,"(電視版)LiTV 線上影視 追劇,電影,新聞直播 線上看",com.js.litv.home,https://www.litv.tv/app-ads.txt,True,-,-,-,-,-,-,-,
com.mxtech.videoplayer.ad,MX Player,com.mxtech.videoplayer.ad,http://apps.mxplayer.in/app-ads.txt,True,"hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER",-,-,-,-,-,-,
71845,-,71845,-,-,-,-,-,-,-,-,-,No app found with ID 71845
com.hk01.news_app,香港01 - 新聞資訊及生活服務,com.hk01.news_app,https://www.hk01.com/app-ads.txt,True,"hindsightsolutions.net, 346, RESELLER",-,-,-,-,-,-,
com.hk01.news_app,香港01 - 新聞資訊及生活服務,com.hk01.news_app,https://www.hk01.com/app-ads.txt,True,"hindsightsolutions.net, 346, RESELLER",-,-,-,-,-,-,
com.purple.iptv.smart.player,IPTV Smart Purple Player,com.purple.iptv.smart.player,http://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.purple.iptv.lite,Purple Lite - IPTV Player,com.purple.iptv.lite,https://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.purple.iptv.smart.player,IPTV Smart Purple Player,com.purple.iptv.smart.player,http://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.purple.iptv.lite,Purple Lite - IPTV Player,com.purple.iptv.lite,https://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.purple.iptv.smart.player,IPTV Smart Purple Player,com.purple.iptv.smart.player,http://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
com.purple.iptv.lite,Purple Lite - IPTV Player,com.purple.iptv.lite,https://purplesmarttv.com/app-ads.txt,True,-,-,-,-,-,-,-,
1026575503,TVBAnywhere North America,1026575503,https://www.tvbanywherena.com/app-ads.txt,True,"hindsightsolutions.net, 346, DIRECT; hindsightsolutions.net, 323-b5616, DIRECT, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5616, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 346, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace",-,-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
in.mohalla.sharechat,ShareChat Trends Videos & Live,in.mohalla.sharechat,-,-,-,-,-,-,-,-,-,Ads.txt Not Found
