TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,prosegments.com,REMARKS
com.divum.ibn,News18: Breaking & Local News,com.divum.ibn,-,-,-,NA - 403
com.livescore,LiveScore: Live Sports Scores,com.livescore,https://www.livescore.com/app-ads.txt,True,"prosegments.com, PSADG102, DIRECT",
com.trainlivestatus.checkpnrstatusonline,Live Train Status : PNR Status,com.trainlivestatus.checkpnrstatusonline,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.universal.remote.multi,VIDAA Smart TV,com.universal.remote.multi,https://www.vidaa.com/app-ads.txt,True,"prosegments.com, PSADG255, DIRECT",
com.cricbuzz.android,Cricbuzz - Live Cricket Scores,com.cricbuzz.android,https://www.cricbuzz.com/app-ads.txt,True,"prosegments.com, PSADG107, DIRECT",
com.allcalendar.bengali.calendar2020,Bangla Calendar 2026,com.allcalendar.bengali.calendar2020,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.allindcheckbankbalance.allindbankbalcheck,Bank Balance Check,com.allindcheckbankbalance.allindbankbalcheck,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
com.cricbuzz.android.vernacular,Cricbuzz - In Indian Languages,com.cricbuzz.android.vernacular,https://www.cricbuzz.com/app-ads.txt,True,"prosegments.com, PSADG107, DIRECT",
com.ropehero.mob.vegas.jetpack.superhero.crime.sim.games,Super Rope Hero Crime Mafia 3D,com.ropehero.mob.vegas.jetpack.superhero.crime.sim.games,https://theplaymaxgroup.com/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
com.squirrel.gun.shooting.hero.city.defender.open.world.game,Squirrel Hero 3D Gun Master,com.squirrel.gun.shooting.hero.city.defender.open.world.game,https://theplaymaxgroup.com/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
com.angry.monkey.fun.simulator.city.game,Wild Panther Fun Simulator,com.angry.monkey.fun.simulator.city.game,https://theplaymaxgroup.com/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
com.allfreegames.allinonegames,All Games : All In One Game,com.allfreegames.allinonegames,https://softechdevs.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG122, DIRECT",
net.vidaatv.android.tv,VIDAA Channels,net.vidaatv.android.tv,http://www.vidaa.com/app-ads.txt,True,"prosegments.com, PSADG255, DIRECT",
tv.brasil.digital,TV Digital: Live TV Online,tv.brasil.digital,https://brasilaovivo.tv/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
tv.limex.brasilliteandroid,TV Brasil - TV Ao Vivo,tv.limex.brasilliteandroid,https://brasilaovivo.tv/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
com.maha.satbara,माझा शेतकरी | MH 7/12 & News,com.maha.satbara,https://graceful-conkies-539e94.netlify.app/app-ads.txt,True,"prosegments.com, PSADG163, DIRECT; prosegments.com, PSADG162, DIRECT",
com.seraphic.openinet.pre,Open Browser - TV Web Browser,com.seraphic.openinet.pre,https://www.metaxsoft.com/app-ads.txt,True,-,
com.vidaa.oemtabcontentprovider,Hisense Tab Content Provider,com.vidaa.oemtabcontentprovider,http://www.vidaa.com/app-ads.txt,True,"prosegments.com, PSADG255, DIRECT",
com.openworldspidergame.ropehero.spiderfighter.crimecity,Spider Game Mafia Rope Hero,com.openworldspidergame.ropehero.spiderfighter.crimecity,https://theplaymaxgroup.com/app-ads.txt,True,"prosegments.com, PSADG296,  DIRECT #prosegments",
com.djremix.djmusicplayers,DJ Music Mixer - 3D DJ Remix,com.djremix.djmusicplayers,https://djmusicmixersremix.blogspot.com/app-ads.txt,True,"prosegments.com, PSADG159, DIRECT",
