TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,pixelverge.com,REMARKS
https://mbitmusic.in,-,-,-,-,-,NA - 500
https://helpcontactus002.blogspot.com,-,https://helpcontactus002.blogspot.com,https://helpcontactus002.blogspot.com/ads.txt,True,-,
https://arcadianlab.com,-,-,-,-,-,Ads.txt Not Found
https://cinereporter.com,-,-,-,-,-,NA - 403
https://businer.com,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='businer.com', port=443): Max retries exceeded with url: /ads.txt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1017)')))"
https://ryt-music.com,-,-,-,-,-,Text content not found
https://supercent.io,-,-,-,-,-,Empty response
https://cricheroes.com,-,https://cricheroes.com,https://cricheroes.com/ads.txt,True,-,
https://Vnexpress.com,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='vnexpress.com', port=443): Max retries exceeded with url: /ads.txt (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f16f1e41c90>, 'Connection to vnexpress.com timed out. (connect timeout=1)'))"
https://shivpurisamachaar.com,-,https://shivpurisamachaar.com,https://shivpurisamachaar.com/ads.txt,True,-,
https://narasi.tv,-,https://narasi.tv,https://narasi.tv/ads.txt,True,-,
https://bhopalsamachar.com,-,https://bhopalsamachar.com,https://bhopalsamachar.com/ads.txt,True,-,
https://gamefuzed.com,-,https://gamefuzed.com,https://gamefuzed.com/ads.txt,True,-,
https://suara.com,-,https://suara.com,https://suara.com/ads.txt,True,-,
https://gamelinkshop.top,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='gamelinkshop.top', port=443): Max retries exceeded with url: /ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f16f26f2290>: Failed to resolve 'gamelinkshop.top' ([Errno -2] Name or service not known)""))"
https://gamedealstore.top,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='gamedealstore.top', port=443): Max retries exceeded with url: /ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f16f1e41ae0>: Failed to resolve 'gamedealstore.top' ([Errno -2] Name or service not known)""))"
https://baohatinh.vn,-,https://baohatinh.vn,https://baohatinh.vn/ads.txt,True,-,
https://369rocks.com,-,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='369rocks.com', port=443): Max retries exceeded with url: /ads.txt (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f16f26f1de0>: Failed to resolve '369rocks.com' ([Errno -2] Name or service not known)""))"
https://dantri.com.vn,-,https://dantri.com.vn,https://dantri.com.vn/ads.txt,True,-,
https://gamerhydra.com,-,-,-,-,-,NA - 403
https://ixigo.com,-,https://ixigo.com,https://ixigo.com/ads.txt,True,-,
https://nedir.org,-,https://nedir.org,https://nedir.org/ads.txt,True,-,
https://metrojournalonline.com,-,https://metrojournalonline.com,https://metrojournalonline.com/ads.txt,True,-,
https://Tempo.co,-,https://Tempo.co,https://Tempo.co/ads.txt,True,-,
https://geotimes.id,-,https://geotimes.id,https://geotimes.id/ads.txt,True,-,
https://gujaratsamachar.com,-,https://gujaratsamachar.com,https://gujaratsamachar.com/ads.txt,True,-,
https://videoplaysongs.blogspot.com,-,https://videoplaysongs.blogspot.com,https://videoplaysongs.blogspot.com/ads.txt,True,-,
https://moneymistress.co.uk,-,-,-,-,-,Ads.txt Not Found
https://menuprices.co.uk,-,-,-,-,-,"ConnectionError ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
